Set,Way,Physical Address,Victim Address,Program Counter,Hit
1451,0,1627482879,0,4205311,0
1452,0,1627482883,0,4205315,0
1453,0,1627482948,0,4205380,0
1450,0,1627482799,0,4205231,0
1179,0,3782289146,0,4208378,0
1178,0,3782289072,0,4208304,0
1254,0,2127903140,0,4205315,0
1274,0,2127904444,0,4205319,0
1275,0,2127904448,0,4205391,0
1290,0,406799032,0,4205234,0
106,0,3412073116,0,4208304,0
1291,0,406799088,0,4208312,0
1180,0,3782289155,0,4208387,0
1271,0,2127904206,0,4205225,0
1181,0,3782289247,0,4208479,0
1182,0,3782289282,0,4208514,0
1230,0,2127901624,0,4205225,0
1292,0,406799128,0,4208382,0
1005,0,583334749,0,4205221,0
1347,0,2507624644,0,4205225,0
1183,0,3782289344,0,4208576,0
1175,0,3782288880,0,4208112,0
1176,0,3782288896,0,4208128,0
1177,0,3782288964,0,4208196,0
86,0,1945245072,0,4208554,0
47,0,39979979,0,4205221,0
1018,0,583335569,0,4205221,0
1003,0,583334592,0,4205221,0
9,0,39977575,0,4205221,0
24,0,39978559,0,4205221,0
25,0,39978560,0,4205247,0
107,0,3412073152,0,4208427,0
13,0,39977796,0,4205221,0
55,0,39980518,0,4205221,0
986,0,583333552,0,4205221,0
34,0,39979147,0,4205221,0
1240,0,2127902231,0,4205221,0
1261,0,2127903581,0,4205221,0
30,0,39978933,0,4205221,0
1015,0,583335393,0,4205221,0
1008,0,583334923,0,4205221,0
992,0,583333932,0,4205221,0
972,0,583332630,0,4205221,0
4,0,39977252,0,4205221,0
1401,0,2507628108,0,4205221,0
577,0,146837614,0,4205221,0
1010,0,583335095,0,4205221,0
1168,0,3782288414,0,4207646,0
1169,0,3782288451,0,4207683,0
1164,0,3782288145,0,4207377,0
1398,0,2507627950,0,4205221,0
1165,0,3782288192,0,4207424,0
1166,0,3782288256,0,4207488,0
1167,0,3782288370,0,4207602,0
1294,0,406799232,0,4207676,0
1306,0,406800032,0,4207683,0
1300,0,406799632,0,4207695,0
1169,1,4076938315,0,4207456,0
1178,1,2832672412,0,4207472,0
1196,0,2832673596,0,4207477,0
87,0,3412071908,0,4207470,0
1207,0,2832674278,0,4207559,0
1213,0,2832674663,0,4207559,0
105,0,3412073028,0,4207464,0
96,0,3412072468,0,4207450,0
193,0,2160996434,0,4207559,0
213,0,2160997740,0,4207559,0
214,0,2160997821,0,4207559,0
228,0,2160998719,0,4207559,0
88,0,3412071936,0,4207552,0
237,0,2160999270,0,4207559,0
248,0,2160999967,0,4207559,0
251,0,2161000179,0,4207559,0
216,0,3789305392,0,4207559,0
239,0,3789306824,0,4207559,0
245,0,3789307259,0,4207559,0
255,0,3789307884,0,4207559,0
1876,0,4222211388,0,4207559,0
1893,0,4222212445,0,4207559,0
1896,0,4222212663,0,4207559,0
1902,0,4222213055,0,4207559,0
1760,0,336967696,0,4207559,0
1761,0,336967766,0,4207559,0
1769,0,336968298,0,4207559,0
258,0,3165274253,0,4207559,0
261,0,3165274494,0,4207559,0
89,0,3412072000,0,4207552,0
263,0,3165274611,0,4207559,0
282,0,3165275802,0,4207559,0
308,0,3165277460,0,4207559,0
853,0,487380312,0,4207559,0
775,0,1195950547,0,4207559,0
777,0,1195950663,0,4207559,0
800,0,1195952164,0,4207559,0
582,0,2060751283,0,4207559,0
603,0,2060752639,0,4207559,0
607,0,2060752861,0,4207559,0
1229,0,3511104363,0,4207559,0
