Set,Way,Physical Address,Victim Address,Program Counter,Hit
1451,15,1627482879,0,4205311,0
1452,15,1627482883,0,4205315,0
1453,15,1627482948,0,4205380,0
1450,15,1627482799,0,4205231,0
1179,15,3782289146,0,4208378,0
1178,15,3782289072,0,4208304,0
1254,15,2127903140,0,4205315,0
1274,15,2127904444,0,4205319,0
1275,15,2127904448,0,4205391,0
1290,15,406799032,0,4205234,0
106,15,3412073116,0,4208304,0
1291,15,406799088,0,4208312,0
1180,15,3782289155,0,4208387,0
1271,15,2127904206,0,4205225,0
1181,15,3782289247,0,4208479,0
1182,15,3782289282,0,4208514,0
1230,15,2127901624,0,4205225,0
1292,15,406799128,0,4208382,0
1005,15,583334749,0,4205221,0
1347,15,2507624644,0,4205225,0
1183,15,3782289344,0,4208576,0
1175,15,3782288880,0,4208112,0
1176,15,3782288896,0,4208128,0
1177,15,3782288964,0,4208196,0
86,15,1945245072,0,4208554,0
47,15,39979979,0,4205221,0
1018,15,583335569,0,4205221,0
1003,15,583334592,0,4205221,0
9,15,39977575,0,4205221,0
24,15,39978559,0,4205221,0
25,15,39978560,0,4205247,0
107,15,3412073152,0,4208427,0
13,15,39977796,0,4205221,0
55,15,39980518,0,4205221,0
986,15,583333552,0,4205221,0
34,15,39979147,0,4205221,0
1240,15,2127902231,0,4205221,0
1261,15,2127903581,0,4205221,0
30,15,39978933,0,4205221,0
1015,15,583335393,0,4205221,0
1008,15,583334923,0,4205221,0
992,15,583333932,0,4205221,0
972,15,583332630,0,4205221,0
4,15,39977252,0,4205221,0
1401,15,2507628108,0,4205221,0
577,15,146837614,0,4205221,0
1010,15,583335095,0,4205221,0
1168,15,3782288414,0,4207646,0
1169,15,3782288451,0,4207683,0
1164,15,3782288145,0,4207377,0
1398,15,2507627950,0,4205221,0
1165,15,3782288192,0,4207424,0
1166,15,3782288256,0,4207488,0
1167,15,3782288370,0,4207602,0
1294,15,406799232,0,4207676,0
1306,15,406800032,0,4207683,0
1300,15,406799632,0,4207695,0
1169,14,4076938315,0,4207456,0
1178,14,2832672412,0,4207472,0
1196,15,2832673596,0,4207477,0
87,15,3412071908,0,4207470,0
1207,15,2832674278,0,4207559,0
1213,15,2832674663,0,4207559,0
105,15,3412073028,0,4207464,0
96,15,3412072468,0,4207450,0
193,15,2160996434,0,4207559,0
213,15,2160997740,0,4207559,0
214,15,2160997821,0,4207559,0
228,15,2160998719,0,4207559,0
88,15,3412071936,0,4207552,0
237,15,2160999270,0,4207559,0
248,15,2160999967,0,4207559,0
251,15,2161000179,0,4207559,0
216,15,3789305392,0,4207559,0
239,15,3789306824,0,4207559,0
245,15,3789307259,0,4207559,0
255,15,3789307884,0,4207559,0
1876,15,4222211388,0,4207559,0
1893,15,4222212445,0,4207559,0
1896,15,4222212663,0,4207559,0
1902,15,4222213055,0,4207559,0
1760,15,336967696,0,4207559,0
1761,15,336967766,0,4207559,0
1769,15,336968298,0,4207559,0
258,15,3165274253,0,4207559,0
261,15,3165274494,0,4207559,0
89,15,3412072000,0,4207552,0
263,15,3165274611,0,4207559,0
282,15,3165275802,0,4207559,0
308,15,3165277460,0,4207559,0
853,15,487380312,0,4207559,0
775,15,1195950547,0,4207559,0
777,15,1195950663,0,4207559,0
800,15,1195952164,0,4207559,0
582,15,2060751283,0,4207559,0
603,15,2060752639,0,4207559,0
607,15,2060752861,0,4207559,0
1229,15,3511104363,0,4207559,0
264,15,3431744034,0,4207559,0
304,15,3431746583,0,4207559,0
361,15,2921880184,0,4207559,0
368,15,2921880578,0,4207559,0
1388,15,1849645870,0,4207559,0
90,15,3412072064,0,4207552,0
1400,15,1849646616,0,4207559,0
1402,15,1849646749,0,4207559,0
143,15,2329682884,0,4207559,0
151,15,2329683425,0,4207559,0
155,15,2329683701,0,4207559,0
163,15,2329684210,0,4207559,0
164,15,2329684264,0,4207559,0
166,15,2329684373,0,4207559,0
168,15,2329684538,0,4207559,0
1959,15,1541663215,0,4207559,0
1929,15,4131381850,0,4207559,0
1942,15,4131382697,0,4207559,0
1951,15,430696437,0,4207559,0
